  t (Gyr) =   0.0005
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 1.000  4530.   -0.35  4.35  1.100    0.318   4.14   3.52   3.40  
 1.100  4850.   -0.15  4.32  1.198    0.576   3.75   3.23   3.12  
 1.200  5264.    0.09  4.26  1.342    0.770   3.28   2.86   2.77  
 1.300  5754.    0.40  4.14  1.606    0.880   2.66   2.34   2.27  
 1.400  6422.    0.70  4.06  1.818    0.938   2.14   1.92   1.86  



  t (Gyr) =   0.0200
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.015  2209.   -3.15  4.09  0.182    1.000  10.49   9.87   9.44  
 0.020  2411.   -2.92  4.14  0.200    1.000   9.89   9.34   8.96  
 0.030  2555.   -2.84  4.33  0.196    1.000   9.71   9.16   8.81  
 0.040  2681.   -2.68  4.38  0.215    1.000   9.32   8.76   8.43  
 0.050  2811.   -2.52  4.40  0.235    1.000   8.98   8.43   8.12  
 0.060  2883.   -2.41  4.41  0.253    1.000   8.73   8.17   7.87  
 0.070  2940.   -2.31  4.41  0.273    1.000   8.51   7.94   7.65  
 0.072  2950.   -2.29  4.41  0.277    1.000   8.46   7.90   7.61  
 0.075  2964.   -2.27  4.41  0.282    1.000   8.41   7.85   7.56  
 0.080  2986.   -2.22  4.41  0.292    1.000   8.30   7.74   7.46  
 0.090  3025.   -2.15  4.41  0.308    1.000   8.15   7.58   7.30  
 0.100  3059.   -2.10  4.42  0.322    1.000   8.02   7.44   7.17  
 0.200  3263.   -1.67  4.41  0.464    0.852   7.02   6.41   6.16  
 0.300  3392.   -1.42  4.40  0.569    0.006   6.45   5.82   5.58  
 0.400  3500.   -1.25  4.42  0.648    0.000   6.08   5.43   5.20  
 0.500  3609.   -1.11  4.43  0.716    0.000   5.78   5.10   4.88  
 0.600  3733.   -0.98  4.43  0.777    0.000   5.50   4.80   4.59  
 0.700  3894.   -0.85  4.44  0.836    0.000   5.21   4.49   4.31  
 0.800  4102.   -0.69  4.43  0.902    0.009   4.88   4.16   4.00  
 0.900  4406.   -0.50  4.42  0.973    0.089   4.49   3.83   3.70  
 1.000  4793.   -0.28  4.38  1.066    0.308   4.04   3.50   3.39  
 1.100  5302.    0.01  4.32  1.208    0.575   3.49   3.08   2.99  
 1.200  5911.    0.35  4.20  1.442    0.770   2.83   2.54   2.47  
 1.300  6330.    0.41  4.29  1.351    0.880   2.81   2.59   2.52  
 1.400  6475.    0.50  4.28  1.426    0.938   2.65   2.44   2.38  



  t (Gyr) =   0.0250
